postal_code,zip_emb_0,zip_emb_1,zip_emb_2,zip_emb_3,zip_emb_4,zip_emb_5,zip_emb_6,zip_emb_7,zip_emb_8,zip_emb_9,zip_emb_10,zip_emb_11,zip_emb_12,zip_emb_13,zip_emb_14,zip_emb_15,zip_emb_16,zip_emb_17,zip_emb_18,zip_emb_19,zip_emb_20,zip_emb_21,zip_emb_22,zip_emb_23,zip_emb_24,zip_emb_25,zip_emb_26,zip_emb_27,zip_emb_28,zip_emb_29,zip_emb_30,zip_emb_31
08020,0.46501642,0.33460212,-0.041326657,-0.012090445,0.014150701,0.11905365,-0.08366206,-0.3231404,0.07978304,-0.20995153,0.1739438,0.36323953,0.099004656,0.41615757,-0.17143357,-0.0036024451,-0.56033313,-0.45466357,0.16435963,-0.092492715,0.08237275,0.16301683,0.123827785,0.27582216,-0.35965842,0.030693978,0.31719777,0.42898825,-0.035460643,-0.51234215,0.5976267,0.44468045
08021,0.40669498,0.21449259,-0.018190503,0.026734129,-0.0084925,0.23508307,-0.10276577,-0.18906353,0.1847917,-0.20010893,0.18130212,0.28637958,0.0584881,0.49057043,-0.18929246,-0.09584758,-0.552847,-0.42834464,0.20052318,-0.08233838,-0.06182677,0.20107359,-0.027559817,0.17989618,-0.30438286,0.121499114,0.46554345,0.45615074,-0.07288174,-0.4578625,0.70355344,0.3483109
08022,0.4929247,0.37946355,0.13070232,0.315017,-0.25925052,0.039462507,-0.3368386,-0.38473734,0.22124745,-0.25817347,0.34219795,0.25357062,-0.020831458,0.49492285,-0.22080207,-0.05956033,-0.686658,-0.3277551,0.18754467,-0.23984174,0.15294635,0.2502765,-0.19389577,0.25241256,-0.38031667,0.2280958,0.6020867,0.5294858,-0.018282643,-0.4727916,0.7848648,0.54424083
08026,0.4880321,0.22085945,-0.058204785,0.061295807,0.034564175,0.29126948,-0.12139732,-0.23329385,0.19967432,-0.25893182,0.2175114,0.40204543,0.07794686,0.5366272,-0.25053173,-0.10939747,-0.61806035,-0.5237289,0.20015524,-0.11633314,-0.02827955,0.25382465,-0.0036510378,0.15102296,-0.34566504,0.094443455,0.5372678,0.55378664,-0.119211085,-0.5506756,0.78144544,0.44192153
08027,0.33502603,0.25498357,-0.033782735,-0.14840665,0.007820211,0.07605716,0.0069060326,-0.24297972,0.010774359,-0.117288545,0.08515255,0.19429316,0.091541156,0.3003232,-0.067427985,0.024314314,-0.41893646,-0.31989548,0.17804407,-0.034230858,0.025015526,0.065671,0.15478875,0.2825065,-0.2480101,0.036752675,0.150365,0.25814807,0.01584935,-0.4173566,0.40852618,0.27536106
08028,0.5401624,0.33083326,0.17574485,0.35158262,0.008554444,0.214608,-0.28140587,-0.28681585,0.17168649,-0.24395584,0.27065927,0.4400729,0.031329546,0.6697562,-0.38776255,-0.090261996,-0.6296569,-0.49363863,0.120228395,-0.21257325,0.13030267,0.3037574,-0.03911148,0.21013334,-0.3922075,0.08823728,0.7359921,0.5547569,-0.110615306,-0.38512677,0.84149283,0.40899795
08029,0.4499449,0.26043227,-0.005189188,0.11205754,-0.0949347,0.18015318,-0.17898127,-0.29266536,0.2217591,-0.26390874,0.24857666,0.3184328,0.058970258,0.48196787,-0.20261836,-0.07169783,-0.61863637,-0.43160143,0.1823942,-0.12645073,0.020819545,0.21674556,-0.061673477,0.20112145,-0.34143966,0.14086881,0.49996042,0.5122695,-0.06485561,-0.52374905,0.76201856,0.46889985
08030,0.50025034,0.0706189,0.045836966,0.25745964,0.06127134,0.48402998,-0.10781132,-0.11838684,0.24471714,-0.24364282,0.23228346,0.4436466,0.0251059,0.6588727,-0.3787256,-0.15772027,-0.5537193,-0.5360192,0.21457918,-0.20424287,-0.04498537,0.3698223,-0.055684805,0.0036374182,-0.25194708,0.10884279,0.76896775,0.5739783,-0.21136786,-0.48610663,0.8467027,0.38449693
08031,0.436952,0.23886633,0.018753722,0.15038905,-0.08741036,0.1981108,-0.18108729,-0.27841732,0.21192797,-0.25634354,0.24597935,0.31934994,0.057351865,0.49133012,-0.22165614,-0.063419506,-0.5874703,-0.42189676,0.17590737,-0.13171269,0.028556384,0.22387323,-0.05465351,0.18567824,-0.31763044,0.1414147,0.52730113,0.5030968,-0.07635465,-0.49453574,0.7457254,0.44476795
08033,0.4924404,0.19048434,0.01113341,0.22749346,-0.038931526,0.2970751,-0.19527483,-0.26525486,0.25285423,-0.29687047,0.28706676,0.40764254,0.064901955,0.5711924,-0.30163285,-0.09060836,-0.6166345,-0.49681592,0.19070618,-0.17701279,0.025369264,0.30608222,-0.070033506,0.12771621,-0.33233047,0.13276213,0.668104,0.5877048,-0.13201797,-0.54690415,0.84471685,0.467409
